sample	mean_coverage	median_coverage
450_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.6421	20
259_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	48.7353	32
260_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	59.1628	35
311_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	39.9872	24
312_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	57.3232	34
313_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	19.892	15
322_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	34.6573	24
323_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	36.7041	25
329_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	25.2199	17
330_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	40.3033	25
331_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	27.6802	19
332_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	36.8268	24
333_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	52.18	30
334_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	52.2799	32
342_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	39.5682	25
343_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	43.3283	25
344_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.1879	16
367_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.9901	17
368_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	16.0169	13
369_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	18.6057	15
421_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.9155	19
422_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	16.4821	13
70_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	30.7241	21
146_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	28.8206	21
189_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	39.2999	26
226_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	56.1427	37
230_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.3803	20
248_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.4914	22
27_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	19.3523	15
382_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	53.9255	33
383_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	45.2306	31
386_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	38.8722	26
387_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.663	16
38_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.7659	22
397_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	44.187	33
398_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.7892	16
399_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	32.3782	22
39_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	34.1998	24
424_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	31.4296	22
425_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.0763	18
426_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	25.9411	18
427_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.4103	18
434_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.6679	18
435_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.582	18
90_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.0746	16
249_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	24.3839	17
287_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	44.5372	30
315_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	25.0013	18
328_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.8345	19
356_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.3074	15
357_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	29.1116	20
358_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.0334	18
362_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	26.2456	19
363_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	22.9843	17
364_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	21.6473	16
384_bismark_bt2_pe.CX_CpG_report_merge_10X.txt.gz	40.5966	26
