library	sample	base	mean	median	lower_quartile	upper_quartile	10th_percentile	90th_percentile
lib1	113_trimmed_filt_merged.1	1	36.166259875719696	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.1	2	36.19421239254818	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.1	3	35.05123338546197	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.1	4	35.4944364857743	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.1	5	35.53471829824615	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.1	6	35.53901897602265	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.1	7	35.54665955987382	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.1	8	35.596630890425395	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.1	9	35.55868314358874	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.1	10-14	35.546257770775185	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.1	15-19	35.383180711830754	37.0	37.0	37.0	37.0	37.0
lib1	113_trimmed_filt_merged.1	20-24	35.2239205956255	37.0	37.0	37.0	32.2	37.0
lib1	113_trimmed_filt_merged.1	25-29	35.07238733657266	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.1	30-34	34.92853563303556	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.1	35-39	34.824361177850435	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.1	40-44	34.64005465696485	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.1	45-49	34.504748568425285	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.1	50-54	34.36111656985395	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.1	55-59	34.202899399574655	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.1	60-64	34.08211428783636	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.1	65-69	33.912407531575326	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.1	70-74	33.774646665762845	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.1	75-79	33.62247247475311	37.0	37.0	37.0	25.0	37.0
lib1	113_trimmed_filt_merged.1	80-84	33.44826183703557	37.0	37.0	37.0	25.0	37.0
