id,born,site,id_short,sitename,lifespan,succ.years,strategy,leks,LMS,age,year,on.lek,lekking,tenureyear,surv,leksize,density,tarsus,wing,mass,lyre,blue,eyec,attend,fight,dist,MS,mean_ig_post,mean_ig_pre,mean_ig,mean_caro_post,mean_caro_pre,mean_caro,smlh,froh1,spots_feather,spots_tip,mean_hct_post,mean_hct_pre,mean_hct,mean_rbc_area_post,mean_rbc_area_pre,mean_rbc_width_post,mean_rbc_width_pre,mean_rbc_length_post,mean_rbc_length_pre,mean_rbc_area,mean_rbc_length,mean_rbc_width,mean_microf_post,mean_microf_pre,mean_leuco_post,mean_leuco_pre,mean_trypa_post,mean_trypa_pre,mean_microf,mean_leuco,mean_trypa
D243950,2007,LEH,D950,Lehtusuo,2,1,LLS,2,6,2,2009,1,1,2,0,5,10.5,60.6,276,1330,225,0.241,4.61,0.92,0,25.08,6,NA,1633700,1633700,NA,3.72027131901423,3.72027131901423,1.000217219513,0.141261027556997,0,0,NA,0.4737,0.4737,NA,82.171,NA,8.3252,NA,12.5734,82.171,12.5734,8.3252,NA,0,NA,2,NA,NA,0,2,NA
D244017,2006,KUM,D017,Kummunsuo,3,0,LLUS,2,0,1,2007,0,0,NA,1,31,14.6,NA,NA,NA,NA,NA,NA,0,NA,NA,0,782216,NA,782216,10.5623864201773,NA,10.5623864201773,0.987622368679142,0.162742296112021,8,0,0.4658,NA,0.4658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
D244017,2006,KUM,D017,Kummunsuo,3,0,LLUS,2,0,2,2008,1,1,1,1,38,14.6,59.5,270,1230,237,0.286,4.43,0.87,0.2,16.28,0,NA,NA,NA,NA,NA,NA,0.987622368679142,0.162742296112021,3,0,NA,0.5039,0.5039,NA,92.6072,NA,9.3735,NA,12.5856,92.6072,12.5856,9.3735,NA,NA,NA,NA,NA,NA,NA,NA,NA
D244017,2006,KUM,D017,Kummunsuo,3,0,LLUS,2,0,3,2009,1,1,2,0,21,10.5,NA,NA,NA,NA,NA,NA,0.9,0.49,8.25,0,NA,NA,NA,NA,NA,NA,0.987622368679142,0.162742296112021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D244025,2007,TEE,D025,Teerisuo,3,1,LLS,2,5,1,2008,0,0,NA,1,9,14.6,59.3,269,1070,192,0.216,1.159,0,NA,NA,0,NA,1105769,1105769,NA,NA,NA,1.00924561945833,0.164480860287718,7,0,NA,0.5053,0.5053,NA,72.3815,NA,7.6114,NA,12.1142,72.3815,12.1142,7.6114,NA,NA,NA,NA,NA,NA,NA,NA,NA
D244025,2007,TEE,D025,Teerisuo,3,1,LLS,2,5,2,2009,1,1,1,1,9,10.5,60.1,267,1300,229,0.239,3.426,0.59,0.35,1.41,0,NA,920500,920500,NA,2.69829541088736,2.69829541088736,1.00924561945833,0.164480860287718,0,0,NA,0.5741,0.5741,NA,74.5048,NA,7.5276,NA,12.6084,74.5048,12.6084,7.5276,NA,13,NA,5,NA,NA,13,5,NA
D244025,2007,TEE,D025,Teerisuo,3,1,LLS,2,5,3,2010,1,1,2,1,6,8.9,NA,NA,NA,NA,NA,NA,1,0.22,4.24,5,NA,NA,NA,NA,NA,NA,1.00924561945833,0.164480860287718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D244027,2007,TEE,D027,Teerisuo,6,2,LLS,4,2,1,2008,0,0,NA,1,9,14.6,60.3,258,1120,182,0.218,1.24,0,NA,NA,0,NA,858004,858004,NA,NA,NA,1.02638045171261,0.144780807952086,6,0,NA,0.5314,0.5314,NA,68.8912,NA,7.0928,NA,12.373,68.8912,12.373,7.0928,NA,NA,NA,NA,NA,NA,NA,NA,NA
D244027,2007,TEE,D027,Teerisuo,6,2,LLS,4,2,2,2009,1,1,1,1,9,10.5,60,266,1270,215,0.219,2.46,1,0.14,17.89,0,NA,705862,705862,NA,0.239073439614018,0.239073439614018,1.02638045171261,0.144780807952086,0,0,NA,0.5261,0.5261,NA,80.4583,NA,8.2009,NA,12.498,80.4583,12.498,8.2009,NA,0,NA,NA,NA,NA,0,NA,NA
D244027,2007,TEE,D027,Teerisuo,6,2,LLS,4,2,3,2010,1,1,2,1,6,8.9,60,267,1255,223,0.201,4.54,1,0.05,20.62,1,NA,788218,788218,NA,NA,NA,1.02638045171261,0.144780807952086,0,0,NA,0.4758,0.4758,NA,76.9391,NA,7.9933,NA,12.2617,76.9391,12.2617,7.9933,NA,0,NA,0,NA,NA,0,0,NA
D244027,2007,TEE,D027,Teerisuo,6,2,LLS,4,2,4,2011,1,0,3,1,15,11.5,59.3,271,1280,225,0.217,3.61,0.14,NA,NA,0,NA,NA,NA,NA,NA,NA,1.02638045171261,0.144780807952086,3,0,NA,0.5445,0.5445,NA,74.0061,NA,7.2089,NA,13.0776,74.0061,13.0776,7.2089,NA,0,NA,0,NA,1,0,0,1
D244027,2007,TEE,D027,Teerisuo,6,2,LLS,4,2,5,2012,1,1,4,1,15,19.4,NA,NA,NA,NA,NA,NA,0.98,0.25,19.1,0,NA,NA,NA,NA,NA,NA,1.02638045171261,0.144780807952086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D244027,2007,TEE,D027,Teerisuo,6,2,LLS,4,2,6,2013,1,1,5,0,15,13,NA,NA,NA,NA,NA,NA,1,0.24,NA,1,NA,NA,NA,NA,NA,NA,1.02638045171261,0.144780807952086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D244029,2007,SAA,D029,Saarisuo,1,0,SLUS,1,0,1,2008,1,1,1,0,21,14.6,58.1,253,1130,195,0.292,2.27,0.91,0.08,91.35,0,NA,896563,896563,NA,NA,NA,1.00738029017728,0.166716946005174,1,1,NA,0.5544,0.5544,NA,66.8126,NA,7.4189,NA,11.4722,66.8126,11.4722,7.4189,NA,NA,NA,NA,NA,NA,NA,NA,NA
D244032,2007,NYR,D032,Nyrölä,3,1,LLS,2,9,1,2008,0,0,NA,1,25,14.6,57.9,264,1210,196,0.261,2.61,0,NA,NA,0,NA,676660,676660,NA,NA,NA,1.01322253440221,0.155983438823024,0,0,NA,0.5468,0.5468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D244032,2007,NYR,D032,Nyrölä,3,1,LLS,2,9,2,2009,1,1,1,1,15,10.5,59,277,1280,228,0.24,4.12,1,0.37,8.54,0,NA,1303757,1303757,NA,6.63213721324896,6.63213721324896,1.01322253440221,0.155983438823024,0,0,NA,NA,NA,NA,72.9872,NA,7.4876,NA,12.4175,72.9872,12.4175,7.4876,NA,0,NA,0.5,NA,NA,0,0.5,NA
D244032,2007,NYR,D032,Nyrölä,3,1,LLS,2,9,3,2010,1,1,2,0,16,8.9,58.1,276,1310,239,0.23,4.69,0.95,0.19,1,9,NA,537020,537020,NA,NA,NA,1.01322253440221,0.155983438823024,0,4,NA,0.5138,0.5138,NA,76.9488,NA,8.1548,NA,12.0204,76.9488,12.0204,8.1548,NA,NA,NA,NA,NA,NA,NA,NA,NA
D244033,2007,NYR,D033,Nyrölä,1,0,SLUS,1,0,1,2008,1,1,1,0,25,14.6,57.9,257,1180,196,0.256,1.51,0.69,0.03,77.1,0,NA,325481,325481,NA,NA,NA,0.998420403360979,0.156537444400329,14,0,NA,0.5413,0.5413,NA,61.3956,NA,6.7297,NA,11.6217,61.3956,11.6217,6.7297,NA,NA,NA,NA,NA,NA,NA,NA,NA
D244042,2007,LEH,D042,Lehtusuo,1,0,SLUS,1,0,1,2008,1,1,1,0,15,14.6,57.1,258,1110,190,0.234,1.34,0.47,0.38,10.05,0,NA,731501,731501,NA,NA,NA,1.00043714493198,0.150517441113611,0,0,NA,0.4856,0.4856,NA,67.6875,NA,6.2191,NA,13.8647,67.6875,13.8647,6.2191,NA,NA,NA,NA,NA,NA,NA,NA,NA
D244045,2007,SAA,D045,Saarisuo,1,0,SLUS,1,0,1,2008,1,1,1,0,21,14.6,60.8,257,1090,182,0.227,NA,0.89,0.1,30.02,0,NA,860375,860375,NA,NA,NA,0.989217549406486,0.159338075730634,7,0,NA,0.5273,0.5273,NA,71.5774,NA,7.5501,NA,12.0768,71.5774,12.0768,7.5501,NA,NA,NA,NA,NA,NA,NA,NA,NA
D244054,2007,LEH,D054,Lehtusuo,1,0,SLUS,1,0,1,2008,1,1,1,0,15,14.6,58.8,267,1135,195,0.256,1.47,0.65,0.19,29.15,0,NA,468064,468064,NA,NA,NA,1.02627763694285,0.145708776181158,3,0,NA,0.5426,0.5426,NA,71.563,NA,7.6756,NA,11.877,71.563,11.877,7.6756,NA,NA,NA,0,NA,NA,NA,0,NA
