"","Sample","lib","aligned_reads","ambig_reads","discarded_reads","meth_chg","meth_chh","meth_cpg","no_alignments","percent_aligned","percent_chg_meth","percent_chh_meth","percent_cpg_meth","strand_ctob","strand_ctot","strand_directional","strand_ob","strand_ot","total_c","total_reads","unmeth_chg","unmeth_chh","unmeth_cpg","Filename","File type","Encoding","Total Sequences","Sequences flagged as poor quality","Sequence length","%GC","total_deduplicated_percentage","avg_sequence_length","median_sequence_length","basic_statistics","per_base_sequence_quality","per_tile_sequence_quality","per_sequence_quality_scores","per_base_sequence_content","per_sequence_gc_content","per_base_n_content","sequence_length_distribution","sequence_duplication_levels","overrepresented_sequences","adapter_content","sample_id"
"48","191","lib3",3694421,362610,1563,4206781,1217812,13285689,3909939,46.3717197378677,7.3,1.2,27.1,0,0,"directional",1863208,1829650,210677575,7966970,53772548,102482568,35712177,"191_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",7966970,0,"20-141",35,30.3681592403186,100.398179483543,117,"pass","pass","warn","pass","fail","warn","pass","warn","fail","fail","pass","lib3_191"
"49","198","lib3",7284859,463675,3099,8348484,2482484,25695346,8001933,46.2517016162124,6.8,1.1,23.4,0,0,"directional",3677398,3604362,448248149,15750467,114245197,213451317,84025321,"198_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",15750467,0,"20-141",35,25.9214183651004,107.288003650939,127,"pass","pass","warn","pass","fail","warn","pass","warn","fail","fail","pass","lib3_198"
"50","199","lib3",1824338,157128,858,2106594,764001,7522541,1961242,46.2711922871285,6.9,1.3,32.5,0,0,"directional",926662,896818,111283360,3942708,28321577,56919271,15649376,"199_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",3942708,0,"20-141",34,33.9833327147783,110.395422384818,137,"pass","pass","warn","pass","fail","warn","pass","warn","fail","fail","pass","lib3_199"
"51","200","lib3",3015009,258106,1595,3548373,1086168,12033398,3645649,43.577277675608,7.3,1.3,27,0,0,"directional",1512831,1500583,175648914,6918764,44762256,81719195,32499524,"200_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",6918764,0,"20-141",36,32.9928145511212,100.283934673881,117,"pass","pass","warn","pass","fail","pass","pass","warn","fail","fail","pass","lib3_200"
"52","201","lib3",4367768,356525,1863,5019808,1479290,16170696,4377066,47.9902836488485,7.1,1.2,27.7,0,0,"directional",2187688,2178217,254776388,9101359,65229217,124596991,42280386,"201_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",9101359,0,"20-141",34,29.2670122992143,103.460077885072,137,"pass","pass","warn","pass","fail","pass","pass","warn","fail","fail","pass","lib3_201"
"53","202","lib3",2295520,242354,1145,2649129,760397,8550339,2594067,44.7300543790351,7.6,1.2,27.9,0,0,"directional",1152780,1141595,127345724,5131941,32358047,60969483,22058329,"202_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",5131941,0,"20-141",35,37.7741832234618,97.9606474431409,117,"pass","pass","warn","pass","fail","pass","pass","warn","fail","fail","pass","lib3_202"
"54","264","lib3",1270313,103360,593,1477875,431820,4801206,1242312,48.5596438817501,7.5,1.2,29.3,0,0,"directional",636331,633389,71684095,2615985,18256179,35123892,11593123,"264_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",2615985,0,"20-141",35,42.3358955947628,99.7722238468493,122,"pass","pass","fail","pass","fail","pass","pass","warn","fail","warn","pass","lib3_264"
"55","265","lib3",2656987,192375,1209,3098987,892044,11168595,2725857,47.6570875511796,6.7,1.1,30,0,0,"directional",1329908,1325870,166549977,5575219,43106992,82228197,26055162,"265_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",5575219,0,"20-141",35,30.0911217381055,111.964470633351,137,"pass","pass","fail","pass","fail","pass","pass","warn","fail","fail","pass","lib3_265"
"56","266","lib3",5323694,372075,2787,6212854,1778689,21766466,5892602,45.9399686116366,6.7,1.1,26.7,0,0,"directional",2666327,2654580,337687706,11588371,86733875,161404200,59791622,"266_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",11588371,0,"20-141",35,25.8023137952171,111.195210612432,137,"pass","pass","fail","pass","fail","warn","pass","warn","fail","fail","pass","lib3_266"
"57","267","lib3",1349671,99144,527,1560839,448284,5508135,1393191,47.490082709185,6.7,1.1,29.1,0,0,"directional",676758,672386,84067042,2842006,21598096,41530814,13420874,"267_trimmed_filt_merged.1.fq.gz","Conventional base calls","Sanger / Illumina 1.9",2842006,0,"20-141",35,35.3554379569634,111.715137828703,137,"pass","pass","fail","pass","fail","warn","pass","warn","fail","fail","pass","lib3_267"
